date,temp,humidity,wind,cloud,rain,fog_observed,castle_visible,note,fog_probability,castle_probability,fog_score,castle_score,dew_point,dew_spread,event,updated_at,castle_event_probability
2019-11-24,12.8,91.75,5.424999999999999,100.0,0.7,0,0,,0.092,0.66,55.8,47.8,11.49,1.31,,2025-11-06T11:20:20.824106+09:00,0.0150005414058513
2019-11-25,12.4,84.75,5.799999999999999,99.75,0.125,0,0,,0.629,0.259,44.4,32.7,9.9,2.5,FogOnly,2025-11-06T11:20:25.872208+09:00,0.0103725687743513
2019-12-09,0.5750000000000001,82.75,6.499999999999999,1.75,0.0,0,0,,0.222,0.731,43.9,16.1,-2.02,2.6,,2025-11-06T11:18:54.261142+09:00,0.0496253506099633
2019-12-10,4.825,94.75,6.7,2.0,0.0,1,1,,0.439,0.917,65.7,42.9,4.05,0.77,,2025-11-06T11:18:59.976431+09:00,0.9305425529532352
2020-02-20,3.975000000000001,85.0,4.85,95.75,0.0,0,0,,0.403,0.646,47.5,40.5,1.68,2.29,,2025-11-06T11:14:46.732750+09:00,0.0276238125986446
2020-02-21,0.3,86.5,6.125,4.75,0.0,1,1,,0.903,0.782,51.1,30.0,-1.69,1.99,Castle,2025-11-06T11:14:52.750586+09:00,0.9349466295404404
2020-02-23,4.0,85.75,15.675,85.5,0.2,0,0,,0.102,0.696,47.9,46.6,1.83,2.17,,2025-11-06T11:14:07.386277+09:00,0.0282952819306813
2020-02-24,3.4,76.75,4.9,36.0,0.0,1,1,,0.982,0.814,30.7,14.7,-0.3,3.7,Castle,2025-11-06T11:14:12.463967+09:00,0.975116036963833
2020-04-02,7.074999999999999,82.0,11.2,83.25,0.15,0,0,,0.04,0.666,39.9,33.0,4.21,2.86,,2025-11-06T11:12:19.222627+09:00,0.0085115736616556
2020-04-03,4.65,78.0,6.4,4.5,0.0,1,1,,0.96,0.793,32.9,0.0,1.14,3.51,Castle,2025-11-06T11:12:24.519602+09:00,0.964079133559704
2020-04-24,5.575,84.0,4.75,14.75,0.0,0,0,,0.431,0.473,45.1,26.0,3.08,2.49,,2025-11-06T11:11:01.941634+09:00,0.0368322099154388
2020-04-25,6.225,76.75,10.55,0.0,0.0,1,0,,0.818,0.355,29.6,0.0,2.44,3.78,FogOnly,2025-11-06T11:11:06.100034+09:00,0.0473544728341716
2020-10-19,11.225,82.0,3.55,100.0,0.0,0,0,,0.591,0.457,44.0,28.3,8.26,2.96,FogOnly,2025-11-06T11:05:53.045503+09:00,0.0384784137180987
2020-10-20,9.325,91.25,4.2250000000000005,17.25,0.0,1,1,,0.893,0.682,58.8,45.1,7.97,1.35,Castle,2025-11-06T11:05:57.375114+09:00,0.9622837190026792
2020-10-26,13.25,74.5,2.525,51.25,0.0,0,0,,0.403,0.494,36.5,17.0,8.81,4.44,,2025-11-06T11:04:29.653447+09:00,0.0206279373293002
2020-10-27,7.975,84.0,4.725,80.75,0.0,1,1,,0.389,0.134,44.5,40.2,5.44,2.54,,2025-11-06T11:04:35.564006+09:00,0.807096702994316
2020-11-04,6.75,87.75,4.225,83.75,0.125,0,0,,0.295,0.547,51.7,51.7,4.86,1.89,,2025-11-06T11:03:34.716966+09:00,0.0158857354479701
2020-11-05,9.4,67.75,2.075,18.25,0.0,1,0,,0.983,0.74,34.2,1.2,3.74,5.66,Castle,2025-11-06T11:03:39.030241+09:00,0.133197105349432
2020-11-07,15.0,71.75,10.475,98.25,0.0,0,0,,0.664,0.65,15.0,0.0,9.94,5.06,FogOnly,2025-11-06T11:02:56.207547+09:00,0.0293905544684432
2020-11-08,13.275,88.75,2.35,37.5,0.0,1,0,,0.637,0.381,69.7,68.2,11.46,1.82,FogOnly,2025-11-06T11:03:01.058878+09:00,0.0546568057445598
2020-11-13,9.25,84.25,7.175000000000001,26.5,0.0,0,0,,0.702,0.836,44.7,32.5,6.73,2.52,Castle,2025-11-06T11:01:48.975744+09:00,0.0800887947193547
